# Fundos de infraestrutura (FI-Infra) do ranking, com o CNPJ ja resolvido.
#
# ESTE ARQUIVO E GERADO PELA MAQUINA. Voce so mexe nele para colar um CNPJ que
# ela nao conseguiu descobrir sozinha.
#
# De onde vem cada coluna:
#   TICKER, RAZAO_B3  da lista de fundos listados da B3 (fiib3/b3/fiinfra.csv).
#                     E a unica fonte publica que liga nome a codigo de
#                     negociacao: a CVM nao publica esse vinculo para FI-Infra.
#   CNPJ, NOME_CVM    descobertos casando a razao social da B3 com o cadastro
#                     da CVM (fiib3/casamento.py).
#   CONFERIDO_EM      quando o casamento foi feito.
#
# A cada execucao o baixar_informe_fii.py:
#   - sincroniza com a lista da B3 (codigo novo entra, codigo que saiu de
#     negociacao sai, razao social alterada zera o CNPJ para reconferir);
#   - reconfere que o CNPJ existe no cadastro da CVM, esta em funcionamento
#     normal e mantem a mesma razao social;
#   - confere que o fundo aparece no informe diario recente.
# Falhou qualquer uma dessas, o fundo sai do universo e o motivo vai para o log.
#
# QUANDO UM CODIGO FICA SEM CNPJ
# Acontece quando dois fundos do mesmo gestor tem nomes que so diferem por uma
# palavra — tipicamente um fundo e o FIC que investe nele, e so o FIC negocia.
# A maquina se recusa a escolher e escreve os candidatos em
# fiinfra_pendentes.txt, com CNPJ pronto para colar. Confira e cole aqui.
#
# PARA ATUALIZAR O UNIVERSO
# Baixe a lista em b3.com.br (Produtos e Servicos > Renda Variavel > Fundos >
# Fundos de Infraestrutura > download) e substitua fiib3/b3/fiinfra.csv.
TICKER;RAZAO_B3;CNPJ;NOME_CVM;CONFERIDO_EM
JMBI11;JIVEMAUÁ BOSSANOVA F. DE IN. EM C. DE F. INC.;55276939000175;JIVEMAUÁ BOSSANOVA FIC DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA RF RESP LIMIT;2026-09-08
JURO11;SPARTA INFRA FIC FI INFRA RENDA FIXA CP;42730834000100;SPARTA INFRA FI EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;2026-09-08
KDIF11;KINEA INFRA - FDO INV COTAS FDO INC. INV INF RF CP;26324298000189;KINEA INFRA FIF CIC DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRA RF CRED PRIV RESP LIMITADA;2026-09-08
NUIF11;NU INFRA FIC INCENTIVADO EM INFRAESTRUTURA RF CP;;;
OGIN11;NIKOS FUNDO DE INVESTIMENTO FINANCEIRO;46420627000100;NIKOS FUNDO DE INVESTIMENTO FINANCEIRO;2026-09-08
PREE11;SPARTA INFRA ESTRATEGICO FUND DE INVEST;65654838000144;SPARTA INFRA ESTRATÉGICO FIF EM COTAS DE FUNDOS INCENTIVADOS DE INV EM INFR RENDA FIXA RESP LIMITADA;2026-09-08
PRIF11;PÁTRIA CRÉDITO INFRA RENDA FUN DE INV FIN EM COTAS;58005595000158;PÁTRIA CRÉDITO INFRA RENDA FI FINANCEIRO EM COTAS  DE FUNDOS INCENTIVADOS DE INV EM INFRA RENDA FIXA;2026-09-08
RBIF11;RIO BRAVO ESG IS FUNDO DE  INVESTIMENTO FINANCEIRO;38314962000198;RIO BRAVO ESG IS FUNDO DE INVESTIMENTO FINANCEIRO;2026-09-08
RIFF11;RIFF FDO DE INV CF INC DE INV INF RF RESP LIM;54895184000124;RIFF CIC DE CLASSES INCENTIVADAS DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - RESP LIMITADA;2026-09-08
ROOT11;BULLETWOOD FUN DE INVES FIN EM COTAS DE FUN INCENT;;;
SNID11;SUNO INFRA DEBÊNTURES FIC. FDO. INC. IE. RF;48969881000180;SUNO INFRA DEBÊNTURES FIF EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRA RENDA FIXA;2026-09-08
SUIN11;SULAMÉRICA INFRA CDI FI FIF INFRA RENDA FIXA;58288004000105;SULAMÉRICA INFRA CDI FUNDO DE INVESTIMENTO EM COTAS DE FIF EM INFRAESTR RF RESP LIMITADA;2026-09-08
VALO11;VALORA DEB INC FIC FDO INC INV INFRA RF;58171813000124;VALORA DEBÊNTURES INCENTIVADAS FI EM COTAS DE FUN INCENTIVADOS DE INVESTIMENTO EM INFRA RENDA FIXA;2026-09-08
VANG11;ICATU VANGUARDA INCENTIVADO EM INFRAESTRUTURA;;;
VINF11;VINLAND INFRAESTRUTURA FI FIF DEBENTURES INFRA;;;
XPID11;XP FDO INV. COTAS FDO INC. INV. EM INFR. R. FIXA;;;
YVYC11;YVY CAPITAL FIC FI INVES INFRA RENDA FIXA RES LTDA;;;
