ID_Registro_Classe;ID_Subclasse;Codigo_CVM;Data_Constituicao;Data_Inicio;Denominacao_Social;Situacao;Data_Inicio_Situacao;Forma_Condominio;Exclusivo;Publico_Alvo;Previdenciario;Exclusivo_INR;Exclusivo_Previdencia_Complementar
28622;FARRU1734710755;;2024-12-20;2024-12-20;SUBCLASSE B DA CLASSE ÚNICA DE COTAS DO KAMAI ENERGIA FIP EM INFRAESTRUTURA - RESP LTDA;Em Análise;2024-12-20;Fechado;N;Profissional;N;N;N
28622;XSAZL1734719414;139092;2024-12-20;2024-12-20;SUBCLASSE B DA CLASSE ÚNICA DE COTAS DO KAMAI ENERGIA FIP EM INFRAESTRUTURA - RESP LTDA;Em Funcionamento Normal;2025-01-29;Fechado;N;Profissional;N;N;N
28622;YDMGT1734719242;;2024-12-20;2024-12-20;COTAS DE SUBCLASSE B DA CLASSE ÚNICA DE COTAS DO KAMAI ENERGIA FIP EM INFRAESTRUTURA - RESP LTDA;Em Análise;2024-12-20;Fechado;N;;;;
28678;7W9LD1741192864;182842;2025-02-18;2025-02-18;SUBCLASSE B DA CLASSE DO SANEAMENTO I PVT FIP EM INFRAESTRUTURA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-04-08;Fechado;N;Qualificado;N;N;N
28678;TO66B1741192158;182834;2025-02-18;2025-02-18;SUBCLASSE A DA CLASSE DO SANEAMENTO I PVT FIP EM INFRAESTRUTURA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-04-08;Fechado;N;Qualificado;N;N;N
28684;WRUBV1740762480;179701;2025-02-28;2025-02-28;SUBCLASSE A  DO LYON CAPITAL II FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES INFRAESTRUTURA  - RESP LTDA;Em Funcionamento Normal;2025-03-27;Fechado;S;;;;
28703;3MDLX1743012258;196355;2025-03-26;2025-03-26;SUBCLASSE B DA CLASSE ÚNICA DO TALES INFRACOM FIP EM INFRAESTRUTURA - RESPONS LIMITADA;Em Funcionamento Normal;2025-03-28;Fechado;N;Profissional;N;N;N
28703;WTUSB1743012369;196363;2025-03-26;2025-03-26;SUBCLASSE C DA CLASSE ÚNICA DO TALES INFRACOM FIP EM INFRAESTRUTURA - RESPONS LIMITADA;Em Funcionamento Normal;2025-03-28;Fechado;N;Profissional;N;N;N
28703;YC5FI1743010953;196347;2025-03-26;2025-03-26;SUBCLASSE A DA CLASSE ÚNICA DO TALES INFRACOM FIP EM INFRAESTRUTURA - RESPONS LIMITADA;Em Funcionamento Normal;2025-03-28;Fechado;N;Profissional;N;N;N
28750;5BJ9F1752528431;376612;2025-07-14;2025-07-02;COTAS SUBCLASSE C1 DO AZ-AXS ENERGIA FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA;Fase Pré-Operacional;2025-07-14;Fechado;N;Qualificado;N;N;N
28750;CQU7U1753364045;380512;2025-07-24;2025-06-12;SUBCLASSE A2 DO AZ-AXS ENERGIA FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA;Em Funcionamento Normal;2025-08-05;Fechado;N;Qualificado;N;N;N
28750;OSXF01753364142;380530;2025-07-24;2025-06-12;SUBCLASSE B1 DO AZ-AXS ENERGIA FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA;Fase Pré-Operacional;2025-07-24;Fechado;N;Qualificado;N;N;N
28750;R83S51752527522;376604;2025-07-14;2025-07-02;COTAS SUBCLASSE C2 DO AZ-AXS ENERGIA FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA;Em Funcionamento Normal;2025-07-24;Fechado;N;Qualificado;N;N;N
28750;RWJE51753363875;380490;2025-07-24;2025-06-12;SUBCLASSE A1 DO AZ-AXS ENERGIA FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA;Em Funcionamento Normal;2025-08-05;Fechado;N;Qualificado;N;N;N
28750;V25GZ1753364093;380520;2025-07-24;2025-06-12;SUBCLASSE B2 DO AZ-AXS ENERGIA FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA;Em Funcionamento Normal;2025-07-24;Fechado;N;Qualificado;N;N;N
29039;AXACS1772653865;465267;2026-03-04;2026-03-04;SUBCLASSE B DO ARARA-AZUL FIP INFRAESTRUTURA RESPONSABILIDADE LIMITADA;Fase Pré-Operacional;2026-03-04;Fechado;N;Profissional;N;N;N
29039;FCIR91772653489;465250;2026-03-04;2026-03-03;SUBCLASSE A DO ARARA-AZUL FIP INFRAESTRUTURA RESPONSABILIDADE LIMITADA;Fase Pré-Operacional;2026-03-04;Fechado;N;;;;
29039;W7INK1772654033;465291;2026-03-04;2026-03-04;SUBCLASSE C DO ARARA-AZUL FIP INFRAESTRUTURA RESPONSABILIDADE LIMITADA;Fase Pré-Operacional;2026-03-04;Fechado;N;Profissional;N;N;N
29053;0OPRT1778796780;484067;2026-05-14;2026-05-14;SEXTA SÉRIE DA SUBCLASSE SÊNIOR DA CLASSE ÚNICA DO ITAÚBA FIP EM INFRAESTRUTURA RESP LIMITADA;Em Funcionamento Normal;2026-05-29;Fechado;N;Qualificado;N;N;N
29053;CET7C1774561668;471682;2026-03-26;2026-03-19;TERCEIRA SÉRIE DA SUBCLASSE SÊNIOR DA CLASSE ÚNICA DO ITAÚBA FIP EM INFRAESTRUTURA RESP LIMITADA;Em Funcionamento Normal;2026-04-17;Fechado;N;Qualificado;N;N;N
29053;EE1HL1773956275;469351;2026-03-19;2026-03-19;PRIMEIRA SÉRIE DA SUBCLASSE SÊNIOR DA CLASSE ÚNICA DO ITAÚBA FIP EM INFRAESTRUTURA RESP LIMITADA;Em Funcionamento Normal;2026-04-17;Fechado;N;;;;
29053;H2VSH1774561518;471674;2026-03-26;2026-03-19;SEGUNDA SÉRIE DA SUBCLASSE SÊNIOR DA CLASSE ÚNICA DO ITAÚBA FIP EM INFRAESTRUTURA RESP LIMITADA;Em Funcionamento Normal;2026-04-17;Fechado;N;Público Geral;N;N;N
29053;M2L2G1778796875;484075;2026-05-14;2026-05-14;SÉTIMA SÉRIE DA SUBCLASSE SÊNIOR DA CLASSE ÚNICA DO ITAÚBA FIP EM INFRAESTRUTURA RESP LIMITADA;Em Funcionamento Normal;2026-05-29;Fechado;N;Qualificado;N;N;N
29053;MGGLF1774561952;471690;2026-03-26;2026-03-19;SUBCLASSE SUBORDINADA DA CLASSE ÚNICA DO ITAÚBA FIP EM INFRAESTRUTURA RESP LIMITADA;Em Funcionamento Normal;2026-04-17;Fechado;N;Qualificado;N;N;N
29053;UJNRL1778796514;484040;2026-05-14;2026-05-14;QUARTA SÉRIE DA SUBCLASSE SÊNIOR DA CLASSE ÚNICA DO ITAÚBA FIP EM INFRAESTRUTURA RESP LIMITADA;Em Funcionamento Normal;2026-05-29;Fechado;N;Qualificado;N;N;N
29053;VJHWO1778796683;484050;2026-05-14;2026-05-14;QUINTA SÉRIE DA SUBCLASSE SÊNIOR DA CLASSE ÚNICA DO ITAÚBA FIP EM INFRAESTRUTURA RESP LIMITADA;Em Funcionamento Normal;2026-05-29;Fechado;N;Qualificado;N;N;N
29436;QBPYI1741371598;184020;2024-11-29;2024-11-29;FUNDO INV. DIR. CRED. BB VOTORANTIM HIGHLAND INFRAESTRUTURA SUBCLASSE DE COTAS SUBORDINADAS MEZANINO;Fase Pré-Operacional;2024-11-29;Fechado;N;Qualificado;N;N;N
29436;ZAR9P1741373173;184047;2024-11-29;2024-11-29;FUNDO INV. DIR. CRED. BB VOTORANTIM HIGHLAND INFRAESTRUTURA SUBCLASSE DE COTAS SUBORDINADAS JUNIORES;Fase Pré-Operacional;2024-11-29;Fechado;N;Qualificado;N;N;N
31339;LKVMR1769193264;451711;2026-01-23;2024-05-17;TAÚ PIRINEUS FIDC DE INFRAESTRUTURA RESP LIMITADA SUBCLASSE DE COTAS SUBORDINADA;Em Funcionamento Normal;2026-01-27;Aberto;N;Profissional;N;N;N
31339;NRX471769191754;451665;2026-01-23;2024-05-17;ITAÚ PIRINEUS FIDC DE INFRAESTRUTURA RESP LIMITADA SUBCLASSE DE COTAS SÊNIOR;Em Funcionamento Normal;2026-01-27;Aberto;N;Público Geral;N;N;N
31740;1THTG1769442556;451908;2026-01-26;2025-02-03;ITAÚ PIRINEUS II FIDC DE INFRAESTRUTURA RESP LIMITADA SUBCLASSE DE COTAS SÊNIOR;Em Funcionamento Normal;2026-01-28;Aberto;N;Público Geral;N;N;N
31740;5H6EM1769443400;451924;2026-01-26;2025-02-03;ITAÚ PIRINEUS II FIDC DE INFRAESTRUTURA RESP LIMITADA SUBCLASSE DE COTAS SUBORDINADA;Em Funcionamento Normal;2026-01-28;Aberto;N;Profissional;N;N;N
31740;CRTHU1769443154;451916;2026-01-26;2025-02-03;ITAÚ PIRINEUS II FIDC DE INFRAESTRUTURA RESP LIMITADA SUBCLASSE DE COTAS MEZANINO;Em Funcionamento Normal;2026-01-28;Aberto;N;Profissional;N;N;N
32540;5KBT91769623048;453560;2026-01-28;2025-04-03;ITAÚ PIRINEUS III FIDC DE INFRAESTRUTURA RESPONSABILIDADE LIMITADA SUBCLASSE DE COTAS SUBORDINADAS;Em Funcionamento Normal;2026-01-30;Aberto;N;Profissional;N;N;N
32540;HX0351769622614;453552;2026-01-28;2025-04-03;ITAÚ PIRINEUS III FIDC DE INFRAESTRUTURA RESP LIMITADA SUBCLASSE DE COTAS SUBORDINADAS MEZANINO;Em Funcionamento Normal;2026-01-30;Aberto;N;Profissional;N;N;N
32540;XJVST1769622315;453544;2026-01-28;2025-04-03;ITAÚ PIRINEUS III FIDC DE INFRAESTRUTURA RESPONSABILIDADE LIMITADA SUBCLASSE DE COTAS SÊNIOR;Em Funcionamento Normal;2026-01-30;Aberto;N;Profissional;N;N;N
