ID_Registro_Fundo;ID_Registro_Classe;CNPJ_Classe;Codigo_CVM;Data_Registro;Data_Constituicao;Data_Inicio;Tipo_Classe;Denominacao_Social;Situacao;Data_Inicio_Situacao;Classificacao;Indicador_Desempenho;Classe_Cotas;Classificacao_Anbima;Tributacao_Longo_Prazo;Entidade_Investimento;Permitido_Aplicacao_CemPorCento_Exterior;Classe_ESG;Forma_Condominio;Exclusivo;Publico_Alvo;Patrimonio_Liquido;Data_Patrimonio_Liquido;CNPJ_Auditor;Auditor;CNPJ_Custodiante;Custodiante;CNPJ_Controlador;Controlador
53625;6475;24552346000160;131253;2024-05-15;2016-09-28;2024-05-15;Classes de Cotas de Fundos FIF;NIKOS DEBÊNTURES INCENTIVADAS FUNDO DE INVESTIMENTO EM INFRAESTRUTURA  RENDA FIXA CRÉDITO PRIVADO LP;Em Funcionamento Normal;2024-05-15;Renda Fixa;Não se aplica;N;Renda Fixa Duração Livre Crédito Livre;;;N;N;Aberto;N;Público Geral;8317238.58;2026-09-02;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
53667;6497;24601713000179;137952;2025-01-06;2016-07-19;2025-01-06;Classes de Cotas de Fundos FIF;PLURAL MASTER II DEB INCENTIVADAS CRÉDITO PRIVADO FIF RENDA FIXA INVESTIMENTO EM INFRAESTRUTURA - RL;Em Funcionamento Normal;2025-01-06;Renda Fixa;Não se aplica;N;Renda Fixa Duração Livre Crédito Livre;;;N;N;Aberto;N;Público Geral;109227235.04;2026-09-02;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;42272526000170;BNY MELLON BANCO S.A.;02201501000161;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.
53704;6525;24669263000156;251151;2025-05-09;2025-05-09;2025-05-09;Classes de Cotas de Fundos FIF;AZBWM QUEST LEVANTE FIC DE FI FINANCEIRO INCENTIVADO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO;Em Funcionamento Normal;2025-05-09;Renda Fixa;Não se aplica;S;Renda Fixa Duração Livre Crédito Livre;;;N;N;Aberto;N;Público Geral;35126928.01;2026-09-02;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
53907;6580;25097707000199;251330;2025-06-30;2025-06-30;2025-06-30;Classes de Cotas de Fundos FIF;BTG SUPRA 90 FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RENDA FIXA;Em Funcionamento Normal;2025-06-30;Renda Fixa;Não se aplica;N;Renda Fixa Duração Livre Crédito Livre;;;N;N;Aberto;N;Profissional;1242731925.75;2026-09-02;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
53939;6595;25108905000100;281085;2025-06-20;2025-06-20;2025-06-20;Classes de Cotas de Fundos FIF;BNP PARIBAS MASTER INFRAESTRUTURA CLASSE DE INVESTIMENTO RENDA FIXA SUSTENTÁVEL IS - RESP LIMITADA;Em Funcionamento Normal;2025-06-20;Renda Fixa;;N;Renda Fixa Duração Livre Crédito Livre;S;;N;N;Aberto;N;Público Geral;34683431.93;2026-09-02;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;01522368000182;BANCO BNP PARIBAS BRASIL S/A;01522368000182;BANCO BNP PARIBAS BRASIL S/A
54200;6692;26104747000183;138100;2025-03-05;2017-05-12;2025-03-05;Classes de Cotas de Fundos FIF;BANESTES FIC DE FIF INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA RF CRED PRIV RESP LIMITADA;Em Funcionamento Normal;2025-03-05;Renda Fixa;DI de um dia;S;Renda Fixa Duração Livre Crédito Livre;;;N;N;Aberto;N;Público Geral;31002026.21;2026-09-02;16549480000184;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;28127603000178;BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO;28156057000101;BANESTES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
54575;6868;26362496000137;251860;2025-04-14;2025-04-14;2025-04-14;Classes de Cotas de Fundos FIF;SAFRA INFRAESTRUTURA MASTER FIF INV EM INFRAESTRUTURA CI EM INFRA RF LONGO PRAZO RESP LIMITADA;Em Funcionamento Normal;2025-04-14;Renda Fixa;Índice de Mercado Andima NTN-B até 5 anos;N;Multimercados Estrat. Específica;S;;N;N;Aberto;N;Público Geral;255816384.90;2026-09-02;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;58160789000128;BANCO SAFRA S/A;58160789000128;BANCO SAFRA S/A
54835;6962;26605199000175;211931;2025-06-11;2025-06-11;2025-06-11;Classes de Cotas de Fundos FIF;CAPITÂNIA INFRA 30 IPCA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA INVESTIMENTO EM INFRAESTRUTURA;Em Funcionamento Normal;2025-06-11;Renda Fixa;Não se aplica;N;Renda Fixa Duração Alta Crédito Livre;;;N;N;Aberto;N;Público Geral;84982247.17;2026-09-02;61366936000125;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
55010;7027;26740634000174;96334;2024-07-31;2017-02-16;2024-07-31;Classes de Cotas de Fundos FIF;MUSTANG FIF INVESTIMENTO EM INFRA CIC DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2024-07-31;Renda Fixa;DI de um dia;S;Renda Fixa Duração Livre Crédito Livre;;;N;N;;;;11531336.25;2026-09-02;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;58160789000128;BANCO SAFRA S/A;58160789000128;BANCO SAFRA S/A
55109;7074;26803233000116;252239;2025-05-07;2025-05-07;2025-05-07;Classes de Cotas de Fundos FIF;XP DEB INCENT CDI CRÉD PRIV FIF INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - RESP LTDA;Em Funcionamento Normal;2025-05-07;Multimercado;DI de um dia;N;Multimercados Estrat. Específica;;;N;N;Aberto;N;Público Geral;2697554831.97;2026-09-02;49928567000111;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;42272526000170;BNY MELLON BANCO S.A.;02201501000161;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.
